2024-11-27T13:35:58.900000, sensor3, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -70, 2.4244620170823286
2024-11-27T13:35:58.900000, sensor3, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -61, 1.0926008611173783
2024-11-27T13:35:58.900000, sensor3, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -80, 5.878016072274914
2024-11-27T13:35:58.900000, sensor3, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -88, 11.937766417144363
2024-11-27T13:35:58.900000, sensor3, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -95, 22.18982341458972
2024-11-27T13:35:58.900000, sensor3, NHVB9, 6C:21:62:40:6A:30, -79, 5.379838403443686
2024-11-27T13:35:58.900000, sensor3, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -65, 1.5570684047537309
2024-11-27T13:35:58.900000, sensor3, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -72, 2.894266124716751
2024-11-27T13:36:04.240000, sensor3, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -57, 0.7666822074546215
2024-11-27T13:36:04.240000, sensor3, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -61, 1.0926008611173783
2024-11-27T13:36:04.240000, sensor3, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -76, 4.1246263829013525
2024-11-27T13:36:04.240000, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -33, 0.09152473108773888
2024-11-27T13:36:04.240000, sensor3, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -52, 0.4923882631706739
2024-11-27T13:36:04.240000, sensor3, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -45, 0.2648969287610528
2024-11-27T13:36:04.240000, sensor3, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -67, 1.8587918911465637
2024-11-27T13:36:04.240000, sensor3, 59-80-82-17-05-85, 59:80:82:17:05:85, -75, 3.7750532053243937
2024-11-27T13:36:04.240000, sensor3, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -92, 17.012542798525892
2024-11-27T13:36:04.240000, sensor3, NHVB9, 6C:21:62:40:6A:30, -63, 1.3043213867190053
2024-11-27T13:36:04.240000, sensor3, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -67, 1.8587918911465637
2024-11-27T13:36:04.240000, sensor3, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -59, 0.915247310877389
2024-11-27T13:36:04.240000, sensor3, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -42, 0.20309176209047358
2024-11-27T13:36:09.580000, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -49, 0.3775053205324394
2024-11-27T13:36:09.580000, sensor3, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -58, 0.8376776400682919
2024-11-27T13:36:09.580000, sensor3, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -68, 2.0309176209047357
2024-11-27T13:36:09.580000, sensor3, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -79, 5.379838403443686
2024-11-27T13:36:09.580000, sensor3, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -60, 1.0
2024-11-27T13:36:09.580000, sensor3, NHVB9, 6C:21:62:40:6A:30, -76, 4.1246263829013525
2024-11-27T13:36:09.580000, sensor3, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -93, 18.587918911465636
2024-11-27T13:36:09.580000, sensor3, 59-80-82-17-05-85, 59:80:82:17:05:85, -74, 3.455107294592219
2024-11-27T13:36:09.580000, sensor3, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -64, 1.425102670302998
2024-11-27T13:36:09.580000, sensor3, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -81, 6.42232542222936
2024-11-27T13:36:09.580000, sensor3, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -77, 4.506570337745474
2024-11-27T13:36:09.580000, sensor3, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -97, 26.489692876105284
2024-11-27T13:36:09.580000, sensor3, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -74, 3.455107294592219
2024-11-27T13:36:09.580000, sensor3, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -64, 1.425102670302998
2024-11-27T13:36:09.580000, sensor3, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -94, 20.309176209047358
2024-11-27T13:36:09.580000, sensor3, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -82, 7.017038286703828
2024-11-27T13:36:09.580000, sensor3, ROMTech_Accuangle, D7:AA:37:2E:8D:4F, -95, 22.18982341458972
2024-11-27T13:36:14.930000, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -51, 0.4506570337745474
2024-11-27T13:36:14.930000, sensor3, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -71, 2.648969287610528
